"","Name","Mean","Range.low.","SpeedUP","iterations","block","RNG"
"131","rastrigin",0,0,3.65105592543995,300,4,"philox4"
"132","griewangk",0,0,4.60454876458534,300,4,"philox4"
"133","sphere",0.0411188,0.000735858,22.166940007606,30,6,"philox4"
"134","rosenbrock",29.1314,28.6492,25.773393914994,30,6,"philox4"
"135","rastrigin",0.0486615,0.00140381,35.4986559704314,30,6,"philox4"
"136","griewangk",0.945871,0.460057,44.8201549535689,30,6,"philox4"
"137","sphere",4.48863e-15,1.28497e-19,6.80271128828136,100,6,"philox4"
"138","rosenbrock",28.7131,28.1123,7.90918910523417,100,6,"philox4"
"139","rastrigin",0,0,10.8822308130571,100,6,"philox4"
"140","griewangk",3.79086e-07,0,13.7237951665332,100,6,"philox4"
"141","sphere",0,0,2.28079947174703,300,6,"philox4"
"142","rosenbrock",28.7202,28.1177,2.65262970965164,300,6,"philox4"
"143","rastrigin",0,0,3.65066167061707,300,6,"philox4"
"144","griewangk",0,0,4.60452277191952,300,6,"philox4"
